New ID,Vendor,Charge_Date,Cardholder_Agency,PC_Number,Billing_Amount
,AMAZON,6/25/2023,Library,PC-225445,110.26
276017,SQUARE,8/28/2023,Library,157370,700
185196,SQUARE,8/19/2023,City Council,PC-194507,30
208673,SQUARE,8/30/2023,City Council,PC-107176,1009.55
175842,SQUARE,8/26/2023,City Council,PC-215581,564.5
197267,SQUARE,11/22/2023,Airport,PC-128944,32.14
129828,AMAZON,8/15/2023,Library,PC-201297,35.48
249598,SQUARE,9/7/2023,City Council,PC-217341,1290.5
201485,AMAZON,10/16/2023,City Council,PC-283774,87.99
197267,AMAZON,10/30/2023,Airport,PC-298024,26.1
103860,AMAZON,9/28/2023,City Council,PC-174559,16.19
237456,AMAZON,8/27/2023,City Council,PC-211871,58.78
280035,AMAZON,9/12/2023,Library,PC-221503,285.88
280035,AMAZON,9/8/2023,Library,PC-221503,392.04
271018,SQUARE,8/2/2023,Library,PC-236788,235
216875,AMAZON,8/10/2023,Public Health,PC-261900,279.21
165826,AMAZON,2/28/2023,Transportation and Infrastructure,PC-225343,229.38
153766,AMAZON,4/13/2023,Library,PC-210796,70.94
153766,AMAZON,4/15/2023,Library,PC-210796,91.84
266734,AMAZON,4/4/2023,Public Health,PC-292274,278.6
266734,AMAZON,2/7/2023,Public Health,PC-143459,215.27
266734,AMAZON,2/14/2023,Public Health,PC-143459,404.97
247313,AMAZON,1/4/2023,Transportation and Infrastructure,PC-208441,142.57
130341,SQUARE,2/16/2023,Transportation and Infrastructure,PC-146312,892
233850,AMAZON,2/16/2023,Library,PC-211541,28.94
241043,AMAZON,2/2/2023,City Council,PC-267110,671.07
153766,AMAZON,2/6/2023,Library,PC-145819,138.62
100848,AMAZON,1/24/2023,Transportation and Infrastructure,PC-246769,20
280035,SQUARE,2/1/2023,Library,PC-121223,28
249598,AMAZON,6/13/2023,City Council,PC-115623,87.25
247313,AMAZON,5/16/2023,Transportation and Infrastructure,PC-157075,21.98
162106,AMAZON,5/13/2023,Economic Development,PC-267430,569.25
266734,AMAZON,5/3/2023,Public Health,PC-256703,164.52
162106,AMAZON,10/21/2023,Economic Development,PC-271400,315.22
162106,AMAZON,10/24/2023,Economic Development,PC-271400,606.12
271018,AMAZON,11/7/2023,Library,PC-127581,96.83
247313,AMAZON,12/6/2023,Transportation and Infrastructure,PC-163786,206.29
235283,AMAZON,1/10/2023,Mayor's Office,PC-255841,65.12
235283,AMAZON,1/9/2023,Mayor's Office,PC-255841,28.98
235283,AMAZON,7/11/2023,Mayor's Office,PC-251029,354.95
189916,AMAZON,6/16/2023,Mayor's Office,PC-249317,37.59
189916,SQUARE,7/5/2023,Mayor's Office,PC-248563,68.54
189916,AMAZON,6/14/2023,Mayor's Office,PC-144321,91.71
189916,AMAZON,6/15/2023,Mayor's Office,PC-249317,21.93
189916,SQUARE,11/13/2023,Mayor's Office,PC-271393,584.14
189916,SQUARE,11/8/2023,Mayor's Office,PC-107845,495.72
189916,AMAZON,7/28/2023,Mayor's Office,PC-157484,46.8
189916,AMAZON,7/30/2023,Mayor's Office,PC-157484,320.6
189916,AMAZON,7/30/2023,Mayor's Office,PC-157484,13.72
189916,AMAZON,8/6/2023,Mayor's Office,PC-281967,15.89
189916,SQUARE,7/18/2023,Mayor's Office,PC-283703,596.9
189916,AMAZON,7/22/2023,Mayor's Office,PC-295400,228.44
176250,AMAZON,11/8/2023,Mayor's Office,PC-254126,92.34
176250,AMAZON,10/25/2023,Mayor's Office,PC-254126,93.73
189916,AMAZON,7/28/2023,Mayor's Office,PC-115980,68.5
189916,AMAZON,7/28/2023,Mayor's Office,PC-115980,44.46
189916,AMAZON,7/28/2023,Mayor's Office,PC-295400,228.44
189916,AMAZON,6/20/2023,Mayor's Office,PC-144321,29.56
189916,AMAZON,7/7/2023,Mayor's Office,PC-144321,11.38
189916,AMAZON,11/29/2023,Mayor's Office,PC-139079,182
189916,AMAZON,12/4/2023,Mayor's Office,PC-139079,22.75
189916,AMAZON,12/1/2023,Mayor's Office,PC-139079,64.09
189916,AMAZON,12/4/2023,Mayor's Office,PC-139079,84.02
176250,AMAZON,9/10/2023,Mayor's Office,PC-254602,26.72
189916,AMAZON,11/14/2023,Mayor's Office,PC-261254,36.18
235283,AMAZON,4/26/2023,Mayor's Office,PC-248753,71.26
235283,AMAZON,5/21/2023,Mayor's Office,PC-248753,123.98
189916,AMAZON,11/16/2023,Mayor's Office,PC-261254,32.88
189916,AMAZON,10/31/2023,Mayor's Office,PC-104468,-33.04
189916,AMAZON,11/21/2023,Mayor's Office,PC-261254,31.17
189916,AMAZON,7/2/2023,Mayor's Office,PC-245245,19.99
189916,AMAZON,7/4/2023,Mayor's Office,PC-245245,18.8
189916,AMAZON,11/19/2023,Mayor's Office,PC-261254,292.78
189916,AMAZON,11/16/2023,Mayor's Office,PC-261254,164.82
189916,AMAZON,11/15/2023,Mayor's Office,PC-261254,218.27
189916,AMAZON,6/22/2023,Mayor's Office,PC-202336,66.98
189916,AMAZON,6/23/2023,Mayor's Office,PC-202336,38.99
189916,AMAZON,6/23/2023,Mayor's Office,PC-202336,217.05
235283,AMAZON,9/8/2023,Mayor's Office,PC-201395,25.99
189916,AMAZON,9/23/2023,Mayor's Office,PC-211923,19.79
189916,AMAZON,9/23/2023,Mayor's Office,PC-211923,104.55
189916,AMAZON,9/26/2023,Mayor's Office,PC-245468,19.99
189916,AMAZON,9/23/2023,Mayor's Office,PC-254812,-31.35
