Supplier Invoice,Supplier Invoice Total Amount ,Invoice Date,Status,Accounting Date for Supplier Invoice,Supplier Name,Payment Status,Beginning Payment Date,Payment Amount,Discount Taken,Payment Type,CF CCD LRV Payment Reconciliation Status SID,Bank Cleared Date,Invoice Amount,Due Date,Purchase Orders,Extended Amount,Cost Center
SI-00692976,2154.5,1/6/2022,Approved,7/1/2023,SENIOR SUPPORT SERVICES,Paid,7/20/2023,2154.5,0,Check,Reconciled,7/24/2023,2154.5,2/5/2022,PO-00152014,2154.5,CDBG Administration
SI-00608038,10793.98,1/6/2022,Approved,7/1/2023,SENIOR SUPPORT SERVICES,Paid,7/20/2023,10793.98,0,Check,Reconciled,7/24/2023,10793.98,2/5/2022,PO-00152014,10793.98,CDBG Administration
SI-00602835,57917.23,1/3/2023,Approved,1/1/2024,JBK HOTELS LLC,Paid,1/19/2024,57917.23,0,ACH,Reconciled,1/22/2024,57917.23,2/2/2023,PO-00153371,57917.23,CDBG Administration
SI-00675391,4773.47,1/9/2023,Approved,1/1/2024,NEWMARK PARTNERS LP,Paid,1/24/2024,4773.47,0,ACH,Reconciled,1/25/2024,4773.47,2/8/2023,PO-00193031,4773.47,CDBG Administration
SI-00605391,14666.62,1/12/2023,Approved,1/1/2024,LAND TITLE GUARANTEE CO,Paid,2/5/2024,14666.62,0,ACH,Reconciled,2/6/2024,14666.62,2/11/2023,,1314.55,CDBG Administration
SI-00605391,14666.62,1/12/2023,Approved,1/1/2024,LAND TITLE GUARANTEE CO,Paid,2/5/2024,,,,Reconciled,2/6/2024,14666.62,2/11/2023,,13352.07,CDBG Administration
SI-00616424,215640.38,1/20/2023,Approved,2/1/2023,US MOTELS DENVER NORTH INC,Paid,2/28/2023,215640.38,0,ACH,Reconciled,3/1/2023,215640.38,1/20/2023,,6100.48,CDBG Administration
SI-00686237,155883.83,1/20/2023,Approved,2/1/2023,US MOTELS DENVER NORTH INC,Paid,2/28/2023,155883.83,0,ACH,Reconciled,3/1/2023,155883.83,2/19/2023,,1584.75,CDBG Administration
SI-00606276,4566.64,2/2/2023,Approved,3/1/2023,NEWMARK PARTNERS LP,Paid,3/21/2023,4566.64,0,ACH,Reconciled,3/22/2023,4566.64,3/4/2023,PO-00193031,4566.64,CDBG Administration
SI-00614250,750000,2/9/2023,Approved,2/9/2023,FCI CONSTRUCTORS INC,Paid,2/22/2023,750000,0,ACH,Reconciled,2/23/2023,750000,2/9/2023,PO-00195778,750000,Early Intervention Team
