NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Elyria Swansea,6687.0,5389.0,960.0,259.0,25.0,15.0,0.0,0.0,39.0,80.58920293,14.35621355,3.87318678,0.37385973,0.22431584,0.0,0.0,0.58322118,3485.0,3202.0,506.0,542.0,579.0,300.0,1048.0,1101.0,1021.0,701.0,1100.0,913.0,440.0,211.0,152.0,1927.0,672.0,28.81710782,10.04934948,32.5,30.9,35.0,6319,1790,95,159,433,400,403,212,88,4529,2876.0,605.0,1359.0,511.0,267.0,134.0,4023.0,1711.0,1109.0,598.0,605.0,6181.0,1945.0,4236.0,1938,1824,114,873,951,1824,1376,751,625,201,424,448,336,112,134,148,42,227,71,128,31,111,115,247,108,204,128,45,11,74,45943,48915,17508,45943,48915,28750,32813,25406,25417,27130,29877,33750,None,1951.0,0,0,61,133,26,220,108,462,279,649,894,1019,171600,4343,2344,15,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2329,2329,39,2281,9,0,20.3,19.5494186
Wellshire,3529.0,371.0,2932.0,26.0,0.0,81.0,0.0,0.0,119.0,10.51289317,83.08302635,0.73675262,0.0,2.29526778,0.0,0.0,3.37206007,1691.0,1838.0,266.0,242.0,164.0,148.0,508.0,383.0,176.0,449.0,465.0,493.0,442.0,320.0,293.0,820.0,981.0,23.23604421,27.79824313,45.2,42.0,48.2,3370,817,106,34,214,148,159,70,86,2553,1615.0,403.0,624.0,435.0,76.0,77.0,2538.0,60.0,233.0,458.0,1787.0,3263.0,2971.0,181.0,1448,1408,40,1256,152,1408,1032,877,155,30,125,376,321,55,25,8,30,47,13,20,33,43,81,115,91,125,134,92,194,357,114881,137250,62829,114881,137250,68958,97132,55250,None,36193,50795,73229,95735,1957.0,0,6,32,20,0,237,157,961,35,0,2018,2143,584500,3280,249,76,17,0,10,49,58,46,0,12,0,31,31,0,0,0,0,84,84,4,71,9,0,3.8,2.03488372
University,9576.0,720.0,7672.0,261.0,5.0,677.0,0.0,0.0,241.0,7.5416306,80.42626342,2.93100355,0.04038772,6.65916484,0.0,0.0,2.40154986,4953.0,4623.0,378.0,318.0,271.0,84.0,696.0,2102.0,2977.0,1496.0,840.0,481.0,682.0,182.0,120.0,1051.0,602.0,10.31563494,5.93294445,25.3,25.6,24.75,9306,4659,140,34,294,179,109,3226,677,4647,4313.0,1208.0,1810.0,1007.0,158.0,130.0,5138.0,79.0,427.0,958.0,3674.0,9198.0,7761.0,313.0,3831,3511,320,1810,1701,3511,1384,1076,308,170,138,2127,1473,654,442,139,194,94,216,149,116,127,67,288,242,232,344,364,238,259,57594,103862,34148,57594,103862,49536,55983,40092,None,35511,27356,53718,58067,1955.0,38,21,135,83,146,363,601,898,661,885,1069,1190,417800,8561,1015,258,50,160,0,48,504,416,28,18,42,75,27,0,0,38,0,178,144,19,64,61,34,17.65,4.9230879
Rosedale,2498.0,254.0,2101.0,35.0,10.0,92.0,0.0,0.0,6.0,10.16813451,84.10728583,1.4011209,0.40032026,3.68294636,0.0,0.0,0.24019215,1280.0,1218.0,85.0,127.0,33.0,37.0,212.0,70.0,459.0,705.0,320.0,305.0,178.0,79.0,170.0,282.0,381.0,11.28903122,15.25220176,35.5,33.8,38.3,2430,375,24,39,67,29,41,97,78,2055,1600.0,235.0,891.0,285.0,152.0,37.0,2159.0,37.0,175.0,402.0,1545.0,2413.0,2225.0,84.0,1439,1298,141,706,592,1298,517,446,71,39,32,781,573,208,73,26,61,6,53,64,61,45,14,94,103,215,136,104,132,111,82959,109583,53643,82959,109583,52173,54297,50926,None,None,30781,61667,63250,1952.0,25,40,105,86,137,65,56,256,296,373,1518,1518,438500,2346,152,48,8,0,0,40,39,30,0,9,0,0,0,0,0,0,0,65,59,11,27,21,6,8.7,1.93423598
Cheesman Park,8895.0,747.0,7269.0,342.0,45.0,225.0,28.0,1.0,238.0,8.07479321,82.16332498,3.55507558,0.67608173,2.81240986,0.25148195,0.0089815,2.45785119,4625.0,4270.0,229.0,63.0,179.0,77.0,292.0,303.0,2233.0,2294.0,948.0,860.0,1158.0,530.0,277.0,548.0,1669.0,5.61071057,21.07495848,36.75,39.2,35.05,8715,953,30,14,31,154,123,339,262,7762,5707.0,1348.0,2649.0,1255.0,231.0,224.0,7976.0,134.0,478.0,2045.0,5319.0,8666.0,7828.0,355.0,5775,5338,437,1917,3421,5338,1483,1172,311,99,212,3855,2850,1005,278,194,163,102,242,326,298,353,179,485,623,690,424,241,374,366,59970,106492,53270,59970,106492,47132,47554,44684,None,35286,31093,41586,63770,1961.0,146,9,61,132,252,1035,1604,389,281,1866,1100,1160,317200,8276,619,270,59,50,88,73,109,53,34,22,0,78,0,0,0,0,0,162,104,41,38,25,58,10.3,4.3699187
Hilltop,9510.0,490.0,8151.0,324.0,86.0,228.0,0.0,61.0,170.0,4.90892532,86.49063426,3.09735476,0.809885,2.28631433,0.0,0.75870647,1.64817987,4203.0,5307.0,941.0,594.0,573.0,184.0,1535.0,816.0,766.0,1432.0,1331.0,1250.0,1215.0,610.0,555.0,2292.0,2120.0,24.57099747,22.20856102,42.2,43.85,40.05,8935,2149,252,99,521,456,280,291,250,6786,3960.0,869.0,1808.0,882.0,222.0,179.0,6672.0,121.0,435.0,724.0,5392.0,8569.0,7759.0,248.0,4042,3923,119,2916,1007,3923,2487,2131,356,93,263,1436,1155,281,142,73,52,140,62,63,89,65,73,194,295,332,331,356,346,1310,141230,183406,100787,141230,183406,85006,108921,62981,None,32932,82210,84844,101286,1961.0,47,36,604,295,157,462,405,1077,481,478,1748,1958,771850,8833,677,361,60,107,55,139,193,66,8,6,113,35,0,0,0,0,42,46,16,6,0,10,30,5.1,3.01909052
Montclair,5896.0,892.0,4683.0,34.0,24.0,95.0,0.0,34.0,134.0,15.12890095,79.42672999,0.57666214,0.40705563,1.61126187,0.0,0.57666214,2.27272727,2808.0,3088.0,333.0,303.0,192.0,143.0,636.0,425.0,946.0,1125.0,939.0,657.0,708.0,259.0,201.0,971.0,866.0,16.4687924,14.68792402,39.1,39.2,38.7,5646,1146,131,87,179,127,158,268,196,4500,3241.0,402.0,1620.0,944.0,148.0,127.0,4569.0,189.0,396.0,667.0,3317.0,5563.0,4867.0,391.0,2923,2816,107,2014,802,2816,1248,985,263,44,219,1568,1202,366,90,55,49,91,53,55,66,29,90,183,243,542,384,206,230,450,94861,120543,59705,94861,120543,58068,62075,56235,14114,35321,44335,72607,73485,1947.0,0,18,59,136,96,92,138,574,1188,622,1343,1481,385800,5315,581,93,0,0,0,93,159,34,110,15,0,17,17,0,0,0,24,288,224,0,186,38,64,5.7,6.08974359
Hale,7060.0,639.0,5594.0,351.0,23.0,308.0,0.0,0.0,145.0,8.81048448,81.1483651,4.43372025,0.33730477,3.42117225,0.0,0.0,1.84895315,3385.0,3675.0,379.0,317.0,168.0,46.0,696.0,222.0,1110.0,1807.0,1126.0,906.0,613.0,345.0,235.0,910.0,1064.0,13.67483561,15.91069075,38.4,39.75,37.35,6775,1123,96,86,234,137,64,270,236,5652,4090.0,1248.0,1792.0,665.0,200.0,185.0,5909.0,213.0,534.0,1618.0,3544.0,6681.0,5983.0,225.0,4521,4128,393,1882,2246,4128,1452,1054,398,84,314,2676,2151,525,408,248,113,104,196,155,147,247,247,375,383,473,226,239,347,220,65704,96830,46143,65704,96830,51400,52892,50471,None,41154,38904,54996,63918,1951.0,101,33,76,110,151,421,708,789,1153,979,1024,1074,365200,6397,663,174,30,44,0,100,218,152,12,15,17,29,14,0,0,0,0,242,234,0,170,64,8,11.1,4.38633976
North Park Hill,10351.0,1212.0,5679.0,2733.0,92.0,112.0,0.0,135.0,388.0,11.97020346,54.28481293,26.58671728,0.94533498,1.06155262,0.0,1.31528051,3.83609823,5141.0,5210.0,848.0,694.0,451.0,221.0,1542.0,780.0,942.0,2338.0,1827.0,948.0,977.0,727.0,270.0,2214.0,1914.0,21.21784705,18.37991069,37.75,36.95,38.9,9812,2179,170,218,449,389,379,304,270,7633,5319.0,652.0,2959.0,1150.0,264.0,294.0,7770.0,882.0,973.0,1671.0,4244.0,9503.0,8431.0,839.0,4273,4139,134,3599,540,4139,2610,1916,694,178,516,1529,1095,434,236,70,50,117,85,115,140,75,71,319,300,668,459,332,499,603,96184,107840,45777,96184,107840,54988,62797,45873,17662,None,43951,55208,80688,1945.0,0,0,48,54,36,36,186,1191,1394,1328,1074,1270,361500,9677,674,21,21,0,0,0,94,0,0,94,0,99,0,0,13,0,0,460,412,8,404,0,48,7.3,6.57209613
South Park Hill,9491.0,865.0,7245.0,850.0,29.0,258.0,0.0,0.0,244.0,9.14949401,76.20883794,9.04141034,0.29852146,2.73564613,0.0,0.0,2.56609013,4540.0,4951.0,722.0,615.0,468.0,192.0,1337.0,1047.0,855.0,1438.0,1312.0,1280.0,1511.0,559.0,152.0,1997.0,2098.0,20.93221582,22.17509914,39.8,39.9,39.7,8994,2234,172,152,451,380,291,657,131,6760,4260.0,989.0,1918.0,969.0,220.0,164.0,6685.0,305.0,416.0,1165.0,4799.0,8769.0,7724.0,583.0,3834,3725,109,3030,695,3725,2475,2179,296,73,223,1250,972,278,105,117,92,91,77,145,71,69,68,208,238,451,469,332,409,783,105704,132762,56392,105704,132762,56084,65378,53610,31250,49010,33630,64479,72914,1939.0,0,50,103,56,27,94,115,428,506,2455,933,1015,528750,8627,864,149,89,19,10,31,194,30,87,6,71,73,8,25,19,13,19,429,337,12,315,10,92,8.15,6.13808599
