Shape,NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
<geoprocessing describe geometry object object at 0x0F132A00>,Washington Virginia Vale,14775.0,2316.0,8098.0,2642.0,13.0,665.0,0.0,180.0,861.0,15.6751269,54.80879865,17.88155668,0.08798646,4.50084602,0.0,1.21827411,5.82741117,7643.0,7132.0,814.0,894.0,790.0,401.0,1708.0,1498.0,2909.0,2681.0,2243.0,1317.0,993.0,871.0,555.0,2899.0,2738.0,19.62098139,18.53130288,34.27172697,32.86895307,35.77083333,14336,3199,223,227,741,476,636,651,245,11137,6853.0,1546.0,2538.0,2076.0,356.0,337.0,10710.0,541.0,1814.0,2659.0,5696.0,13961.0,10848.0,938.0,7353,6737,616,2878,3859,6737,3048,1914,1134,369,765,3689,2601,1088,383,247,187,197,400,201,326,634,355,698,674,654,504,376,422,479,56282,68623,38425,85537,101677,38374,40554,33180,0,21736,37190,38118,59192,1971.9502437,0,33,200,661,854,2462,1884,1155,79,25,948,965,437046,12448,2327,542,36,0,55,451,641,68,334,118,121,683,106,41,0,129,22,439,396,13,318,65,43,13.175,7.08497777
<geoprocessing describe geometry object object at 0x04439780>,Washington Park West,7382.0,555.0,6167.0,59.0,0.0,202.0,0.0,0.0,399.0,7.51828773,83.54104579,0.7992414,0.0,2.7363858,0.0,0.0,5.40503928,4028.0,3354.0,398.0,222.0,217.0,72.0,620.0,329.0,1677.0,2058.0,924.0,847.0,506.0,355.0,66.0,909.0,905.0,12.31373611,12.25955026,34.6574344,33.76132075,35.60921844,7141,1028,132,59,117,205,94,217,204,6113,3705.0,688.0,1711.0,1031.0,150.0,125.0,5974.0,91.0,394.0,768.0,4721.0,6984.0,6410.0,278.0,4121,3887,234,1878,2009,3887,1417,1196,221,60,161,2470,1645,825,131,122,20,72,92,137,161,138,58,256,332,463,328,303,473,801,97920,154719,70630,134188,188029,62336,63980,60213,6458,0,20491,69479,88584,1939.0,0,455,185,50,56,128,125,413,192,2517,1036,1081,680135,6969,413,76,41,0,35,0,177,49,69,51,8,14,14,0,0,0,23,123,123,0,123,0,0,6.35,3.54105802
<geoprocessing describe geometry object object at 0x046AFC00>,Sun Valley,1133.0,505.0,88.0,457.0,35.0,46.0,0.0,0.0,2.0,44.57193292,7.76699029,40.33539276,3.08914387,4.06001765,0.0,0.0,0.17652251,553.0,580.0,155.0,168.0,167.0,123.0,323.0,323.0,54.0,299.0,29.0,40.0,34.0,15.0,16.0,613.0,52.0,54.10414828,4.58958517,16.8,12.8,30.8,1058,546,67,16,154,128,141,40,0,512,276.0,72.0,114.0,40.0,0.0,50.0,474.0,161.0,196.0,68.0,49.0,978.0,709.0,92.0,422,383,39,36,347,383,325,75,250,7,243,58,58,0,124,21,50,101,35,29,0,0,0,0,0,0,23,0,0,0,19650,20292,7970,22163,23720,16350,27552,11750,18015,16450,2499,0,0,1952.0,0,0,0,0,7,61,70,95,110,79,193,239,535700,996,137,1,0,0,1,0,27,0,0,27,0,91,19,55,0,17,0,18,18,0,18,0,0,77.7,75.38461538
<geoprocessing describe geometry object object at 0x02AB9100>,Cory - Merrill,4215.0,213.0,3572.0,15.0,3.0,240.0,0.0,6.0,166.0,5.05338078,84.74495848,0.35587189,0.07117438,5.69395018,0.0,0.14234875,3.93831554,2215.0,2000.0,286.0,292.0,229.0,154.0,578.0,477.0,269.0,881.0,598.0,421.0,568.0,334.0,89.0,961.0,821.0,22.7995255,19.47805457,39.0,38.7,39.6,4038,1036,130,67,225,171,194,167,82,3002,1528.0,538.0,588.0,265.0,62.0,75.0,3030.0,21.0,202.0,437.0,2370.0,3929.0,3539.0,114.0,1783,1704,79,1403,301,1704,1132,1003,129,50,79,572,412,160,43,13,0,32,0,56,31,8,10,65,108,94,220,169,323,532,150441,182174,82192,201440,239710,95000,115387,73007,0,0,60769,109363,79659,1954.0,0,139,317,38,105,16,61,362,469,276,1942,1995,723700,3927,288,124,45,30,9,40,137,40,73,24,0,11,0,0,11,0,0,16,16,0,0,16,0,5.2,1.41342756
<geoprocessing describe geometry object object at 0x044397E0>,Rosedale,2713.0,502.0,1911.0,142.0,11.0,77.0,0.0,0.0,70.0,18.50350166,70.43862882,5.23405824,0.40545522,2.83818651,0.0,0.0,2.58016955,1274.0,1439.0,183.0,68.0,91.0,19.0,251.0,110.0,689.0,573.0,364.0,210.0,254.0,123.0,139.0,361.0,422.0,13.30630299,15.55473645,34.3,36.0,33.2,2664,357,42,36,41,82,19,43,94,2307,1371.0,219.0,723.0,260.0,142.0,27.0,2246.0,82.0,188.0,540.0,1436.0,2530.0,2207.0,210.0,1489,1400,89,670,730,1400,489,425,64,57,7,911,624,287,52,0,16,63,33,46,113,20,21,124,112,151,136,64,299,150,89400,128393,54712,109105,146813,65087,71774,57036,0,0,36250,68988,80385,1952.0,0,87,10,17,112,95,195,300,305,368,1633,1671,593000,2534,179,37,6,11,0,20,40,0,0,24,16,0,0,0,0,0,0,102,102,24,62,16,0,7.5,0.0
<geoprocessing describe geometry object object at 0x04439600>,Montbello,35167.0,23129.0,2948.0,6603.0,190.0,905.0,135.0,115.0,1142.0,65.76904484,8.38285893,18.77612534,0.54027924,2.57343532,0.38388262,0.32701112,3.24736258,18109.0,17058.0,2313.0,2831.0,3253.0,2223.0,5144.0,6794.0,4930.0,4839.0,5502.0,3668.0,2298.0,1426.0,566.0,10620.0,3942.0,30.19876589,11.20937242,31.33075015,31.49151584,31.13580247,33783,10024,276,400,2485,2621,2565,1538,139,23759,15008.0,2740.0,5473.0,3954.0,1012.0,1829.0,20901.0,6032.0,6432.0,5556.0,2881.0,32854.0,14220.0,17432.0,9934,9746,188,6162,3584,9746,7516,5326,2190,813,1377,2230,1732,498,365,255,449,279,380,386,314,426,430,929,1010,1254,1557,845,677,190,69801,75625,19634,69710,72740,32698,37019,27731,29295,28899,33918,34949,26002,1978.53888889,0,188,937,1661,2015,3240,1470,345,46,32,965,982,311076,25400,9767,100,0,70,0,30,828,81,103,624,20,180,124,0,0,22,109,8550,8550,86,8229,235,0,11.22857143,10.40948345
<geoprocessing describe geometry object object at 0x02AB9100>,Barnum West,5282.0,3811.0,1278.0,28.0,26.0,36.0,0.0,0.0,103.0,72.15070049,24.19538054,0.53010223,0.49223779,0.68156002,0.0,0.0,1.95001893,2728.0,2554.0,116.0,152.0,456.0,300.0,268.0,839.0,839.0,894.0,1112.0,560.0,452.0,205.0,113.0,1024.0,600.0,19.38659599,11.35933359,36.8,34.4,40.4,5178,1196,0,36,106,252,384,348,70,3982,2712.0,341.0,1165.0,987.0,111.0,108.0,3770.0,1118.0,1145.0,767.0,740.0,5166.0,2398.0,2659.0,2020,1945,75,1392,553,1945,1309,745,564,117,447,636,394,242,30,61,28,98,142,82,110,200,154,129,132,257,258,97,88,79,55205,61719,28903,74430,74792,36672,38915,35489,25085,36346,30946,52564,63793,1955.0,0,0,0,75,28,147,74,1383,144,169,1265,1443,333200,3999,1283,0,0,0,0,0,23,0,0,23,0,32,0,0,0,0,0,1228,1228,0,1175,53,0,3.7,2.67379679
<geoprocessing describe geometry object object at 0x046BA340>,CBD,4631.0,568.0,3255.0,320.0,0.0,129.0,0.0,21.0,338.0,12.26516951,70.28719499,6.90995465,0.0,2.78557547,0.0,0.45346577,7.2986396,2868.0,1763.0,0.0,13.0,0.0,7.0,13.0,392.0,1518.0,1013.0,660.0,522.0,308.0,185.0,20.0,20.0,399.0,0.43187217,8.61584971,33.48716683,35.78746594,27.99649369,4631,1189,0,0,0,0,27,1007,155,3442,2983.0,1197.0,847.0,412.0,396.0,131.0,3299.0,140.0,185.0,701.0,2273.0,4631.0,3903.0,330.0,3548,2826,722,759,2067,2826,710,693,17,17,0,2116,1672,444,273,85,117,27,191,69,41,97,28,139,122,267,402,285,111,572,95973,122247,104187,176544,364835,55950,73807,32806,0,28290,24190,124474,122160,1975.78225806,0,378,543,132,588,372,730,76,0,729,1081,1125,533235,4323,308,87,0,33,0,54,157,62,76,19,0,16,0,0,0,16,0,48,48,0,0,48,0,23.5,0.0
<geoprocessing describe geometry object object at 0x0F132A20>,Virginia Village,14885.0,2709.0,9865.0,1197.0,75.0,425.0,25.0,45.0,544.0,18.19952973,66.27477326,8.04165267,0.50386295,2.85522338,0.16795432,0.30231777,3.65468593,7630.0,7255.0,837.0,675.0,487.0,315.0,1512.0,1057.0,3091.0,3057.0,1935.0,1593.0,1403.0,808.0,429.0,2314.0,2191.0,15.54585153,14.71951629,35.24779195,35.11695906,35.38043478,14349,2756,213,163,499,438,445,594,404,11593,8026.0,1965.0,3636.0,1617.0,494.0,314.0,11320.0,679.0,1777.0,2700.0,6164.0,14048.0,11411.0,1350.0,7289,6905,384,2924,3981,6905,3136,2124,1012,413,599,3769,2731,1038,139,131,340,150,376,223,396,375,265,515,732,922,589,557,727,468,71116,83818,44837,97042,111900,40874,45181,37432,11792,35796,40578,51807,65622,1963.79080675,9,112,240,280,506,1572,1599,2684,154,133,960,972,476054,12798,2087,342,42,51,55,194,541,122,96,141,182,453,268,0,0,20,0,751,693,0,515,178,58,9.55,5.95878306
<geoprocessing describe geometry object object at 0x0F132980>,Central Park,29939.0,3162.0,20022.0,2694.0,164.0,2344.0,41.0,73.0,1439.0,10.561475,66.87598116,8.99829654,0.54778049,7.82925281,0.13694512,0.24382912,4.80643976,14806.0,15133.0,2689.0,2755.0,2781.0,1336.0,5444.0,4272.0,2574.0,5989.0,6142.0,3040.0,1457.0,819.0,202.0,9561.0,2429.0,31.93493437,8.11316343,34.02663216,33.59413469,34.39680818,28319,8579,944,493,2291,2390,1503,425,533,19740,11595.0,2103.0,4904.0,3387.0,828.0,373.0,19576.0,408.0,2178.0,3067.0,13923.0,27250.0,22491.0,1230.0,10555,10177,378,7153,3024,10177,7211,5953,1258,533,725,2966,2349,617,208,86,111,185,118,115,112,145,261,613,446,547,1247,1075,1633,3275,145801,175554,62006,186798,209612,75472,100308,54630,3490,41272,27820,81337,106787,2010.22554199,98,5489,4265,262,60,153,0,66,0,162,1151,1164,636942,26737,3202,411,93,84,0,234,1341,717,198,400,26,787,626,23,89,0,3,660,569,27,324,218,91,3.05,1.28836703
